disease,symptoms,context
west nile virus infection,"Infantile spasms (sudden jerking movements), developmental delays or regression, cognitive impairment, abnormal brain waves on EEG","west nile virus infection: Infantile spasms (sudden jerking movements), developmental delays or regression, cognitive impairment, abnormal brain waves on EEG"
west syndrome,"Neck pain and stiffness, headaches (usually at the base of the skull), dizziness, fatigue, shoulder pain, tingling or numbness in the arms or hands","west syndrome: Neck pain and stiffness, headaches (usually at the base of the skull), dizziness, fatigue, shoulder pain, tingling or numbness in the arms or hands"
whiplash,"Diarrhea, abdominal pain, weight loss, joint pain, fatigue, anemia, swelling of the legs, malabsorption of nutrients","whiplash: Diarrhea, abdominal pain, weight loss, joint pain, fatigue, anemia, swelling of the legs, malabsorption of nutrients"
whipple's disease,"Abdominal pain, diarrhea, bloody stool, weight loss, anemia, fatigue, nausea, vomiting","whipple's disease: Abdominal pain, diarrhea, bloody stool, weight loss, anemia, fatigue, nausea, vomiting"
whipworm infection,"Elevated blood pressure readings in a medical setting, normal blood pressure readings outside of a medical setting","whipworm infection: Elevated blood pressure readings in a medical setting, normal blood pressure readings outside of a medical setting"
white coat hypertension,"Severe coughing fits followed by a ""whooping"" sound when inhaling, vomiting after coughing fits, fatigue, apnea (brief pauses in breathing)","white coat hypertension: Severe coughing fits followed by a ""whooping"" sound when inhaling, vomiting after coughing fits, fatigue, apnea (brief pauses in breathing)"
whooping cough (pertussis),"Developmental delays, learning disabilities, distinctive facial features, cardiovascular problems, social disinhibition","whooping cough (pertussis): Developmental delays, learning disabilities, distinctive facial features, cardiovascular problems, social disinhibition"
williams syndrome,"Abdominal swelling or mass, abdominal pain, blood in the urine, high blood pressure, fever, nausea, vomiting","williams syndrome: Abdominal swelling or mass, abdominal pain, blood in the urine, high blood pressure, fever, nausea, vomiting"
wilms tumor,"Fatigue, weakness, loss of appetite, jaundice (yellowing of the skin and eyes), abdominal pain and swelling, fluid buildup in legs or abdomen","wilms tumor: Fatigue, weakness, loss of appetite, jaundice (yellowing of the skin and eyes), abdominal pain and swelling, fluid buildup in legs or abdomen"
wilson's disease,"Rapid or irregular heartbeats (palpitations), dizziness, lightheadedness, fainting (syncope), chest pain, shortness of breath","wilson's disease: Rapid or irregular heartbeats (palpitations), dizziness, lightheadedness, fainting (syncope), chest pain, shortness of breath"
wolff-parkinson-white syndrome,"Facial abnormalities, intellectual disability, delayed growth and development, seizures, hearing loss, heart defects","wolff-parkinson-white syndrome: Facial abnormalities, intellectual disability, delayed growth and development, seizures, hearing loss, heart defects"
wolf-hirschhorn syndrome,"Pain, swelling, bruising, limited range of motion, tenderness over the wrist joint","wolf-hirschhorn syndrome: Pain, swelling, bruising, limited range of motion, tenderness over the wrist joint"
wrist sprain,"Pain, swelling, and tenderness around the wrist joint, difficulty moving the wrist, weakness in the wrist","wrist sprain: Pain, swelling, and tenderness around the wrist joint, difficulty moving the wrist, weakness in the wrist"
wrist tendonitis,"Involuntary muscle contractions or spasms in the hand or forearm while writing or performing fine motor tasks, pain or discomfort","wrist tendonitis: Involuntary muscle contractions or spasms in the hand or forearm while writing or performing fine motor tasks, pain or discomfort"
writer's cramp,"Yellowish patches or plaques on the skin, typically around the eyes, cholesterol deposits","writer's cramp: Yellowish patches or plaques on the skin, typically around the eyes, cholesterol deposits"
xanthelasma,"Fever, chills, flank pain, abdominal pain, frequent urination, painful urination, blood in the urine, malaise","xanthelasma: Fever, chills, flank pain, abdominal pain, frequent urination, painful urination, blood in the urine, malaise"
xanthogranulomatous pyelonephritis,"Yellowish bumps or plaques on the skin, typically on or around the eyelids, joints, hands, feet, or buttocks, cholesterol deposits","xanthogranulomatous pyelonephritis: Yellowish bumps or plaques on the skin, typically on or around the eyelids, joints, hands, feet, or buttocks, cholesterol deposits"
xanthoma,"Feeling that one or more limbs don't belong to the body, desire for amputation of healthy limbs, distress or discomfort associated with limb presence","xanthoma: Feeling that one or more limbs don't belong to the body, desire for amputation of healthy limbs, distress or discomfort associated with limb presence"
xenomelia,Fear or aversion to people or things perceived as foreign or strange,xenomelia: Fear or aversion to people or things perceived as foreign or strange
xenophobia,"Dry, rough, scaly skin, itching, cracking, flaking, redness","xenophobia: Dry, rough, scaly skin, itching, cracking, flaking, redness"
xeroderma,"Extreme sensitivity to sunlight, freckling, dry skin, rough patches, skin cancers","xeroderma: Extreme sensitivity to sunlight, freckling, dry skin, rough patches, skin cancers"
xeroderma pigmentosum,"Dry eyes, night blindness, corneal ulcers, keratomalacia (softening of the cornea)","xeroderma pigmentosum: Dry eyes, night blindness, corneal ulcers, keratomalacia (softening of the cornea)"
xerophthalmia,"Dry, rough, scaly skin, itching","xerophthalmia: Dry, rough, scaly skin, itching"
xerosis,"Dry mouth, difficulty swallowing, sticky or dry feeling in the mouth, cracked lips, frequent thirst","xerosis: Dry mouth, difficulty swallowing, sticky or dry feeling in the mouth, cracked lips, frequent thirst"
xerostomia,Pain and tenderness in the xiphoid process (small piece of cartilage at the lower end of the sternum),xerostomia: Pain and tenderness in the xiphoid process (small piece of cartilage at the lower end of the sternum)
xiphodynia,"Frequent bacterial infections, recurrent respiratory infections, chronic diarrhea, failure to thrive","xiphodynia: Frequent bacterial infections, recurrent respiratory infections, chronic diarrhea, failure to thrive"
x-linked agammaglobulinemia,Extreme fear or avoidance of wooden objects or forests,x-linked agammaglobulinemia: Extreme fear or avoidance of wooden objects or forests
xylophobia (irrational fear of wooden objects),"Painful, raised skin lesions (yaws), bone and joint pain (goundou), swelling and deformity (gangosa), fever, fatigue, itching","xylophobia (irrational fear of wooden objects): Painful, raised skin lesions (yaws), bone and joint pain (goundou), swelling and deformity (gangosa), fever, fatigue, itching"
yaws,"Itching, burning, redness, swelling of the vaginal area, thick, white, odorless vaginal discharge (similar to cottage cheese)","yaws: Itching, burning, redness, swelling of the vaginal area, thick, white, odorless vaginal discharge (similar to cottage cheese)"
yeast infection,"Fever, headache, muscle aches, vomiting, jaundice (yellowing of the skin and eyes), bleeding (hemorrhage), organ failure","yeast infection: Fever, headache, muscle aches, vomiting, jaundice (yellowing of the skin and eyes), bleeding (hemorrhage), organ failure"
yellow fever,"Yellowing of the nails, particularly of the toenails, thickened nails, slowed growth, lymphedema (swelling due to fluid retention)","yellow fever: Yellowing of the nails, particularly of the toenails, thickened nails, slowed growth, lymphedema (swelling due to fluid retention)"
yellow nail syndrome,"Abdominal pain or cramps, diarrhea (which may be bloody), fever, nausea, vomiting, joint pain","yellow nail syndrome: Abdominal pain or cramps, diarrhea (which may be bloody), fever, nausea, vomiting, joint pain"
yersinia infection,"Abdominal pain or cramps, diarrhea (which may be bloody), fever, nausea, vomiting, joint pain","yersinia infection: Abdominal pain or cramps, diarrhea (which may be bloody), fever, nausea, vomiting, joint pain"
yersiniosis,"Muscle strains, sprains, tendonitis, joint injuries, back pain, neck pain, nerve damage","yersiniosis: Muscle strains, sprains, tendonitis, joint injuries, back pain, neck pain, nerve damage"
yoga injuries,"Fever, chills, headache, muscle aches, cough, sore throat, rash, joint pain, fatigue","yoga injuries: Fever, chills, headache, muscle aches, cough, sore throat, rash, joint pain, fatigue"
yokohama fever,"Symptoms depend on the specific exposure but may include nausea, vomiting, diarrhea, fever, respiratory problems, skin irritation","yokohama fever: Symptoms depend on the specific exposure but may include nausea, vomiting, diarrhea, fever, respiratory problems, skin irritation"
yttrium exposure-related illnesses,"Difficulty swallowing, feeling of something stuck in the throat, regurgitation of undigested food, bad breath (halitosis)","yttrium exposure-related illnesses: Difficulty swallowing, feeling of something stuck in the throat, regurgitation of undigested food, bad breath (halitosis)"
zenker's diverticulum,"Fever, rash, joint pain, conjunctivitis (red eyes), muscle pain, headache, vomiting, symptoms usually mild and resolve within a week","zenker's diverticulum: Fever, rash, joint pain, conjunctivitis (red eyes), muscle pain, headache, vomiting, symptoms usually mild and resolve within a week"
zika fever,"Fever, rash, joint pain, conjunctivitis (red eyes), muscle pain, headache, vomiting, symptoms usually mild and resolve within a week","zika fever: Fever, rash, joint pain, conjunctivitis (red eyes), muscle pain, headache, vomiting, symptoms usually mild and resolve within a week"
zika virus infection,"Hair loss, diarrhea, impaired wound healing, decreased immune function, loss of appetite, weight loss, changes in taste or smell","zika virus infection: Hair loss, diarrhea, impaired wound healing, decreased immune function, loss of appetite, weight loss, changes in taste or smell"
